user,text,time
@BackToTheWar,"Hi @ palestine, now the war is over, because the LGBT community here in Brazil is supporting you. Please send money so they can go to the front lines.",2024-04-27T22:05:03.000Z
@Al_Quran_011,May Allah grant the people of Palestine the highest levels of Jannah. Ameen. Subhan Allah. Beautiful Takbeerat recitation,2024-04-27T21:38:40.000Z
@DrKarimWafa,"Palestine, Sudan, Congo and Haiti will be free.",2024-04-27T15:31:31.000Z
@AbujomaaGaza,"It is not the young American generation, but also the old generation are supporting Palestine! We are happy to know the truth had been hidden by the mainstream media!",2024-04-27T20:36:56.000Z
@REVMAXXING,LONG LIVE PALESTINE!,2024-04-27T19:00:00.000Z
@wokal_distance,"It's not about Gaza It's not about Palestine It's not about Israel It's not about war It's not about peace It's not about Justice These protests are about a revolution that smashes the United States to pieces The issue is never the issue, the issue is always the revolution.",2024-04-27T20:34:13.000Z
@EchoOfDissent,We don’t focus on Palestine because it’s the only issue in the world. We focus on Palestine because it is the amalgamation of every form of oppression that has ever plagued humanity.,2024-04-27T14:20:45.000Z
@OnlinePalEng,"”Where’s your leg, dad?” Palestinian journalist Sami Shehadeh's little daughter keeps asking him about his leg, which was amputated after he was injured in an Israeli bombing in the Nuseirat refugee camp, central Gaza.",2024-04-27T18:22:56.000Z
@AlejoAltp,The Four Horsemen of being mischaracterized in fanon for the sake of the Batboys.,2024-04-27T15:24:52.000Z
@WildernessWypt,When will this end?,2024-04-27T21:04:31.000Z
@theogreenbear,“how can the queer community support palestine? there are gay palestinians who are getting killed just for being gay” there are gay palestinians who are getting killed just for being palestinian might be a more critical issue at the moment,2024-04-27T14:17:26.000Z
@PSCupdates,"Freedom for Palestine London, Hyde Park",2024-04-27T15:01:35.000Z
@GenXDutchess,"Free Palestine, stop genocide!",2024-04-27T18:42:32.000Z
@anadoluagency,"❝We're all witnessing in horror, the devastation of Gaza, it is genocide, and it needs to stop❞ Northern Ireland's First Minister Michelle O'Neill joins National March for Palestine in London, condemning Gaza violence as 'genocide' http://v.aa.com.tr/3204039",2024-04-27T17:09:15.000Z
@TexasRose1776,"To all of you defending the “Free Palestine,” protestors. This is what they stand for.",2024-04-27T21:18:53.000Z
@printculture,Toby is a good boy who wants Palestine to be free & universities to respect students’ 1st amendment rights.,2024-04-27T13:55:57.000Z
@JimMcMurtry01,Don’t blame Palestinians for supporting Hamas. Look what happens to them when they don’t conform. “Free Palestine” is an oxymoron. Islam (meaning “submission”) creates breeding grounds for submitters to dictators and thugs. Palestinians must first free themselves from Islam.,2024-04-27T14:34:15.000Z
@Barbie4MVS,I was banned from Overwatch for saying free Palestine..... go off Blizzard show them true colors. Anyway... free Palestine,2024-04-27T17:20:46.000Z
@Tracking_Power,"Hail, the activists of Palestine Action. They are the cutting edge of solidarity with the struggle for the liberation of Palestine Other parts of the movement should step up and cease undermining these heroes of the movement. #DismantleZionism - piece by piece.",2024-04-27T17:36:50.000Z
@ScooterCasterNY,"#BREAKING Video posted shows the inside of ""Intifada Hall"" at California State Polytechnic University, Humboldt, after protesters stormed it and defaced it, creating inside encampment for Palestine",2024-04-27T17:13:45.000Z
@TorontoCen4Pal,Montreal students have entered the chat.,2024-04-27T18:47:20.000Z
@PALMENA_IC,TRUTH!,2024-04-27T17:25:27.000Z
@XVanFleet,". @marclamonthill These protests are Communist revolutionaries. The issues are just excuses, from BLM to Trans to climate to Palestine. But the target is always the same: to dismantle the United States of America.",2024-04-27T13:41:47.000Z
@SimonWelburn,"https://bbc.co.uk/sounds/play/p0htl6gd… @militari do you think this is something dreamt up bu BBC's James in Jerusalem or does it hold water. With the pre WWII British Army history in Palestine, would Hamas wear this or kill it?",2024-04-27T23:50:18.000Z
@bunnisenpie,Mascot: I want you to know I'm there for you. You're amazing. I love you and hope all your days are sunshine and rainbows :D Shake It Down:,2024-04-27T21:05:46.000Z
@jemslastwaltz,my mind 24/7:,2024-04-27T19:32:17.000Z
