user,text,time
@Pepsi_Naija,It’s another refreshing week on Pepsi Pitchside Trivia on Superpicks. Comment the right answer on @PepsiNaija instagram page to stand a chance of being a winner. T’s and C’s apply! #PepsiPitchside #PepsiSuperpicks,2024-04-26T11:15:40.000Z
@TOluwamayomikun,Brooo i witnessed that era when 200 naira can buy you night food. Just buy one Pepsi and 2 super bite and you’re ok,2024-04-27T21:00:44.000Z
@JamesonCoop,right into the pepsi,2024-04-21T16:44:38.000Z
@CamilaCabelloBR,my xoxota tastes like pepsi cola,2024-04-20T07:57:14.000Z
@dicknaicos,"me showing up to the dinner function in a gucci tracksuit and puma runners carrying my hellmann’s mayo, a crate of pepsi and my bose headphones:",2024-04-26T12:10:58.000Z
@AEWNeckbeard,AEW is more like Coke than Pepsi,2024-04-26T20:07:52.000Z
@Jemuzukki,"PEPSI-MIRUKO!!! (Translation: Get that Pep, in your step! No. 5 Pro Hero, Miruko!) #MyHeroAcademia #PepsiPulse2024",2024-04-22T14:02:11.000Z
@ELDORADO1880,Boss Thumba Sana Agidare Allu Pepsi Promotion Madthavre - JK #YashBoss #ToxicTheMovie,2024-04-26T13:16:21.000Z
@Bams_Jnr,"The 10th edition of the AMVCA is about to get lit with Pepsi's Confam Gbedu Reloaded lineup. With Shaffy Bello, Awilo, Adekunle Gold, Chuike, Kcee and Seyi Sodium, you just know we’re about to have a good time #PepsiXAMVCA10 #ConfamGbeduReloaded",2024-04-27T14:16:07.000Z
@Poyo636,"Big Fruit Dragon We can say that the fruit has grown ----------- If you want a Comm, comment",2024-04-25T00:02:50.000Z
@seedfix,also this : oh wait... why is this cola... : why is it red ... (pepsi is blue ),2024-04-26T12:22:17.000Z
@Pepsi_oof,Today's daily loona #HelluvaBoss #HelluvaBossloona . 4/10 . My helluva boss discord server:https://discord.com/invite/zc2AMFuPjD…,2024-04-27T14:43:56.000Z
@WangHediFolder,- @Guerlain - @EsteeLauder - @Oreo - @pepsi - @pizzahut - Anmuxi - Amap - Chocliz - PeaceBird - Weiquan - Xtep - Bolon - Harbin beer,2024-04-20T02:47:48.000Z
